date,year,area_id,area_name,display_name,area,lat,lon,property_type,txn_count,median_pps,median_price,median_area_sqft
2022-03-01,2022,148,Marsa Dubai,Dubai Marina,Dubai Marina,25.08,55.14,Unit,597,25031.29,2000000.00,79.90
2022-03-01,2022,149,Me'Aisem First,Dubai Production City (IMPZ),Dubai Production City (IMPZ),25.03,55.19,Unit,79,10441.47,991000.00,94.91
2022-03-01,2022,149,Me'Aisem First,Dubai Production City (IMPZ),Dubai Production City (IMPZ),25.03,55.19,Villa,12,13190.53,7000000.00,523.00
2022-03-01,2022,151,Mirdif,Mirdif,Mirdif,25.22,55.42,Unit,10,12331.24,1732068.00,140.89
2022-03-01,2022,152,Muhaisanah First,,Muhaisanah First,,,Unit,73,12508.05,1616790.00,129.26
2022-03-01,2022,161,Nad Al Shiba First,Nad Al Sheba 1,Nad Al Sheba 1,25.16,55.31,Land,19,5033.73,2500000.00,496.65
2022-03-01,2022,161,Nad Al Shiba First,Nad Al Sheba 1,Nad Al Sheba 1,25.16,55.31,Unit,22,10618.85,1155000.00,109.06
2022-03-01,2022,161,Nad Al Shiba First,Nad Al Sheba 1,Nad Al Sheba 1,25.16,55.31,Villa,14,14098.55,5750000.00,410.90
2022-03-01,2022,167,Nadd Hessa,Dubai Silicon Oasis,Dubai Silicon Oasis,25.12,55.39,Unit,62,6060.73,432500.00,71.64
2022-03-01,2022,174,Palm Jumeirah,Palm Jumeirah,Palm Jumeirah,25.12,55.14,Unit,225,23140.01,790000.00,34.14
2022-03-01,2022,174,Palm Jumeirah,Palm Jumeirah,Palm Jumeirah,25.12,55.14,Villa,16,23766.51,14775000.00,621.67
2022-03-01,2022,198,Um Suqaim Third,Umm Suqeim 3,Umm Suqeim 3,25.14,55.20,Unit,23,21748.13,2732000.00,125.62
2022-03-01,2022,200,Wadi Al Safa 2,Dubailand,Dubailand,25.06,55.25,Unit,14,4748.27,281500.00,59.28
2022-03-01,2022,201,Wadi Al Safa 3,Dubai Hills Estate,Dubai Hills Estate,25.12,55.26,Unit,50,8834.70,899905.00,101.75
2022-03-01,2022,201,Wadi Al Safa 3,Dubai Hills Estate,Dubai Hills Estate,25.12,55.26,Villa,59,13781.69,6091505.00,442.00
2022-03-01,2022,203,Wadi Al Safa 5,Liwan,Liwan,25.11,55.37,Land,90,10451.75,4752888.00,454.75
2022-03-01,2022,203,Wadi Al Safa 5,Liwan,Liwan,25.11,55.37,Unit,68,8458.65,464500.00,54.92
2022-03-01,2022,203,Wadi Al Safa 5,Liwan,Liwan,25.11,55.37,Villa,189,9710.72,4021888.00,414.17
2022-03-01,2022,204,Wadi Al Safa 6,Arabian Ranches,Arabian Ranches,25.05,55.28,Villa,45,8483.84,6999000.00,824.98
2022-03-01,2022,205,Wadi Al Safa 7,Mudon,Mudon,25.02,55.27,Unit,24,8744.43,730575.00,83.60
2022-03-01,2022,205,Wadi Al Safa 7,Mudon,Mudon,25.02,55.27,Villa,109,8751.83,502180.00,57.38
2022-03-01,2022,207,Warsan Fourth,Al Warsan 4,Al Warsan 4,25.13,55.41,Unit,14,6534.28,348000.00,52.55
2022-03-01,2022,210,Zaabeel Second,Zabeel 2,Zabeel 2,25.23,55.29,Unit,28,21569.00,1869888.00,86.84
2022-04-01,2022,9,Al Barsha South Fifth,Al Barsha South 5,Al Barsha South 5,25.05,55.19,Unit,26,10091.17,1276108.50,127.53
